,Performance Score,Trend Consistency Score,Total Score
EUYO (TRY),-0.655972369425267,126.28246424429618,125.62649187487091
EUKYO (TRY),-1.2476193889306249,101.9997430363236,100.75212364739296
ETYAT (TRY),-0.6420186762972482,97.43564488362632,96.79362620732907
VKFYO (TRY),-0.8157117484422551,97.10215342017344,96.28644167173118
GRNYO (TRY),1.312335690857506,86.10681243939409,87.4191481302516
ISYAT (TRY),8.114533609377949,41.75307556660853,49.86760917598648
OYAYO (TRY),7.638296889340463,28.91335676065289,36.551653649993355
ATLAS (TRY),1.4738805556895613,31.15453417191388,32.62841472760344
MTRYO (TRY),-28.054778029623083,35.08578847793201,7.03101044830893
