,Performance Score,Trend Consistency Score,Total Score
GOZDE (TRY),10.0,82.16512784875889,92.16512784875889
PRDGS (TRY),6.91452960229224,53.073681888075825,59.988211490368066
HUBVC (TRY),-31.454813950053364,73.14770104960401,41.692887099550646
VERTU (TRY),7.165378783316793,22.603148007967185,29.76852679128398
HDFGS (TRY),7.828227980023902,21.882995934887504,29.711223914911407
ICUGS (TRY),-7.100471000419509,29.259704044958006,22.159233044538496
ISGSY (TRY),-10.25904977095476,5.801067959987201,-4.45798181096756
BULGS (TRY),-19.479774364008627,13.139655186253616,-6.34011917775501
