,0
holding/BINHO (TRY),60.892084040581274
bilisim-ve-yazilim/ARDYZ (TRY),60.43477939216467
imalat/ADEL (TRY),60.08567505121782
cam-seramik-porselen/BIENY (TRY),60.072177044375415
ana-metal/KOCMT (TRY),60.06245817879278
girisim-sermayesi-yatirim-ortakligi/PRDGS (TRY),59.988211490368066
kimya-ve-plastik/HEKTS (TRY),59.967416860182155
gida-ve-icecek/TABGD (TRY),59.66309681202608
enerji-uretim-ve-dagitim/CATES (TRY),59.34778008094244
servis-tasimaciligi-ve-arac-kiralama/BEYAZ (TRY),59.34388433993105
haberlesme/NETAS (TRY),58.897944521194596
holding/KLRHO (TRY),57.94204327595768
tekstil-giyim-ve-deri/ROYAL (TRY),57.743757553012486
gida-ve-icecek/PINSU (TRY),57.50069946859497
imalat/EREGL (TRY),57.44071920520247
imalat/EREGL (TRY) (1),57.44071920520247
spor/FENER (TRY),56.74841563107745
holding/UFUK (TRY),56.74335443910532
toptan-ve-perakende-ticaret/CRFSA (TRY),56.41394385275862
cam-seramik-porselen/QUAGR (TRY),56.1135021247457
holding/IZINV (TRY),55.68092594240021
gayrimenkul/VKGYO (TRY),55.4254228635052
otomotiv-yan-sanayi/BRISA (TRY),55.365881376834594
toptan-ve-perakende-ticaret/PENTA (TRY),54.67783993693335
spor/GSRAY (TRY),54.1734552910623
destek-ve-hizmet/MACKO (TRY),54.12531384950475
imalat/ERBOS (TRY),53.41282190214849
gayrimenkul/ADGYO (TRY),52.98861257217938
enerji-uretim-ve-dagitim/AKFYE (TRY),52.48303046331602
bilisim-ve-yazilim/SKYLP (TRY),52.18985313377982
toptan-ve-perakende-ticaret/EBEBK (TRY),51.966459936762334
imalat/DMSAS (TRY),51.91580970052674
destek-ve-hizmet/PCILT (TRY),51.83951843930623
imalat/IZMDC (TRY),51.74549007809677
holding/RALYH (TRY),51.56712721742184
gayrimenkul/AVPGY (TRY),51.56374267217274
imalat/BURVA (TRY),51.54508748092251
holding/EUHOL (TRY),51.45811711424102
imalat/TCKRC (TRY),51.35766324780362
bilisim-ve-yazilim/MTRKS (TRY),51.0989227987798
imalat/BNTAS (TRY),50.995605140317494
ulastirma/PGSUS (TRY),50.956448320275825
enerji-uretim-ve-dagitim/AHGAZ (TRY),50.932098067046276
insaat/ORGE (TRY),50.39013685844955
holding/ATSYH (TRY),50.31546206640998
imalat/TOASO (TRY),50.29929646085762
gida-ve-icecek/TATGD (TRY),50.266097524148975
destek-ve-hizmet/CEOEM (TRY),50.20304026933516
madencilik-ve-tas-ocakciligi/KOZAL (TRY),50.03015762590118
menkul-kiymet-yatirim-ortakligi/ISYAT (TRY),49.86760917598648
gayrimenkul/AKFGY (TRY),49.4679296741894
holding/INVES (TRY),49.4508600292253
otomotiv-yan-sanayi/JANTS (TRY),49.217985643494245
holding/GLYHO (TRY),48.9455841800615
imalat/ALCAR (TRY),48.78858065264301
bilisim-ve-yazilim/LOGO (TRY),48.515844122523035
metal-esya-ve-makine/MAKIM (TRY),48.48851154286611
gida-ve-icecek/KRSTL (TRY),48.42666382991207
gida-ve-icecek/PENGD (TRY),48.41426438925994
spor/TSPOR (TRY),47.96264664877681
bilisim-ve-yazilim/LINK (TRY),46.94947950414526
holding/BERA (TRY),46.931426823356524
otomotiv-yan-sanayi/PARSN (TRY),46.711242992465884
imalat/BRSAN (TRY),46.691621032870515
otomotiv-yan-sanayi/FMIZP (TRY),46.64023854761649
holding/AVHOL (TRY),46.43409050354522
enerji-teknolojileri/ALFAS (TRY),46.375972195955036
imalat/KBORU (TRY),46.303254722703436
tekstil-giyim-ve-deri/ATEKS (TRY),46.17513145933293
gayrimenkul/PAGYO (TRY),45.96928793209332
insaat/GESAN (TRY),45.84617496218168
ulastirma/TLMAN (TRY),45.58478657356771
gayrimenkul/DAPGM (TRY),45.15873174839004
bilisim-ve-yazilim/ATATP (TRY),45.072399913905265
savunma/SDTTR (TRY),45.05340915526084
enerji-uretim-ve-dagitim/ENDAE (TRY),45.003072174116376
bilisim-ve-yazilim/PKART (TRY),44.983388016575816
gida-ve-icecek/GRTHO (TRY),44.79683731636884
bilisim-ve-yazilim/KAREL (TRY),44.735298555135195
cam-seramik-porselen/EGSER (TRY),44.65738423027224
kimya-ve-plastik/MRSHL (TRY),44.04949388729128
gida-ve-icecek/ELITE (TRY),44.03192222465275
holding/MMCAS (TRY),43.88246073165253
metal-esya-ve-makine/MAKTK (TRY),43.61441735569244
tekstil-giyim-ve-deri/BLCYT (TRY),43.422718043485894
toptan-ve-perakende-ticaret/GMTAS (TRY),43.27676136882096
kimya-ve-plastik/IZFAS (TRY),43.18083082560751
holding/IHYAY (TRY),43.16548178735561
enerji-teknolojileri/ASTOR (TRY),43.14735653002086
insaat/AKFIS (TRY),42.978051048488396
enerji-uretim-ve-dagitim/AKENR (TRY),42.794178153656205
holding/INVEO (TRY),42.74848329815561
gayrimenkul/ISGYO (TRY),42.71585703510976
enerji-uretim-ve-dagitim/ENERY (TRY),42.63846849956484
bilisim-ve-yazilim/INTEK (TRY),42.61815346488065
holding/OYLUM (TRY),42.572007195306554
holding/SAHOL (TRY),42.104263243615065
gayrimenkul/OZKGY (TRY),41.96299281783372
metal-esya-ve-makine/GEREL (TRY),41.74810630929285
girisim-sermayesi-yatirim-ortakligi/HUBVC (TRY),41.692887099550646
enerji-uretim-ve-dagitim/GWIND (TRY),41.44972196579685
holding/OTTO (TRY),41.433414005067654
savunma/PAPIL (TRY),41.115743958499905
gayrimenkul/DGGYO (TRY),41.029483210130856
bilisim-ve-yazilim/MIATK (TRY),40.94524013303896
tas-toprak-cimento/BASCM (TRY),40.88200207411872
toptan-ve-perakende-ticaret/TGSAS (TRY),40.56484257264628
gida-ve-icecek/KRVGD (TRY),39.7828203834414
bilisim-ve-yazilim/FONET (TRY),39.71624631130783
ulastirma/PASEU (TRY),39.658229112440104
ilac-ve-saglik/ANGEN (TRY),39.57858973288413
savunma/ASELS (TRY),39.36608841856442
enerji-uretim-ve-dagitim/ENTRA (TRY),39.25632099620102
servis-tasimaciligi-ve-arac-kiralama/ESCAR (TRY),39.16301003196554
toptan-ve-perakende-ticaret/DESPC (TRY),39.07062484759832
ilac-ve-saglik/MEDTR (TRY),39.06476979759111
kimya-ve-plastik/BAGFS (TRY),39.00004416858921
kimya-ve-plastik/PETKM (TRY),38.97494163604692
otomotiv/ASUZU (TRY),38.97412578324784
metal-esya-ve-makine/VESBE (TRY),38.91462124170425
holding/OSTIM (TRY),38.826051787106465
gida-ve-icecek/MERKO (TRY),38.66951826858971
gida-ve-icecek/YYLGD (TRY),38.641882929278296
kimya-ve-plastik/SEKUR (TRY),38.546262339687374
gida-ve-icecek/BORSK (TRY),38.38920869190158
cam-seramik-porselen/KLSER (TRY),38.38545498915733
mobilya-ve-dekorasyon/EUREN (TRY),38.173431888664716
gida-ve-icecek/KNFRT (TRY),38.04154338027264
tas-toprak-cimento/BSOKE (TRY),37.63669183762169
imalat/TUCLK (TRY),37.632589189150075
metal-esya-ve-makine/SNICA (TRY),37.58891965283642
gida-ve-icecek/KTSKR (TRY),37.57769222963371
otomotiv-yan-sanayi/BFREN (TRY),37.46762208975258
otomotiv-yan-sanayi/BAHKM (TRY),37.33225273526839
bilisim-ve-yazilim/VBTYZ (TRY),37.30282762119271
servis-tasimaciligi-ve-arac-kiralama/LIDER (TRY),37.085467298025705
gayrimenkul/EKGYO (TRY),37.07063260330508
gida-ve-icecek/BALSU (TRY),36.81545045114816
bilisim-ve-yazilim/EDATA (TRY),36.743451460882284
imalat/CEMTS (TRY),36.696919560083415
gida-ve-icecek/TUKAS (TRY),36.64491013986364
imalat/AYES (TRY),36.63919302327838
gayrimenkul/AHSGY (TRY),36.63056401824494
metal-esya-ve-makine/IMASM (TRY),36.557629105167116
menkul-kiymet-yatirim-ortakligi/OYAYO (TRY),36.551653649993355
gida-ve-icecek/TBORG (TRY),36.51339557243039
enerji-uretim-ve-dagitim/MAGEN (TRY),36.51157045285123
ambalaj/OZRDN (TRY),36.371833426110626
gida-ve-icecek/MOPAS (TRY),36.36628923899305
kimya-ve-plastik/EPLAS (TRY),36.36081361512158
holding/IEYHO (TRY),36.014475418726065
tas-toprak-cimento/AFYON (TRY),35.794761127536034
imalat/ALVES (TRY),35.61354169563796
metal-esya-ve-makine/SAFKR (TRY),35.58539274480365
