,Performance Score,Trend Consistency Score,Total Score
IHAAS (TRY),-6.036713670440431,97.89358474882448,91.85687107838405
NETAS (TRY),1.6142038168467423,57.283740704347856,58.897944521194596
ALCTL (TRY),11.858689330671108,22.42122252772448,34.27991185839559
KRONT (TRY),1.601345274087084,28.402574815707275,30.00392008979436
TCELL (TRY),3.660184405918848,22.800258328818177,26.460442734737025
TTKOM (TRY),-7.910357856704877,28.694488597120646,20.78413074041577
