,Performance Score,Trend Consistency Score,Total Score
BIENY (TRY),6.604282823221172,53.467894221154246,60.072177044375415
QUAGR (TRY),11.04850230318659,45.06499982155911,56.1135021247457
EGSER (TRY),-15.637288733235657,60.2946729635079,44.65738423027224
KLSER (TRY),-55.63552930051278,94.02098428967011,38.38545498915733
KUTPO (TRY),0.3979004090216256,32.74362502056285,33.141525429584476
USAK (TRY),-10.843880791190092,28.55301744795849,17.709136656768397
CGCAM (TRY),-10.65178428087119,23.484229028753674,12.832444747882484
SERNT (TRY),-34.06345022590068,35.93111428280906,1.8676640569083816
