,Performance Score,Trend Consistency Score,Total Score
KATMR (TRY),-31.183040312668687,207.52755249345543,176.34451218078675
SDTTR (TRY),11.239664821105709,33.81374433415513,45.05340915526084
PAPIL (TRY),-0.2051982433721964,41.3209422018721,41.115743958499905
ASELS (TRY),11.715215935162156,27.650872483402267,39.36608841856442
OTKAR (TRY),-9.834870615806707,44.45505361897208,34.62018300316537
ONRYT (TRY),3.6963895819817685,26.67439760214962,30.37078718413139
ALTNY (TRY),-1.396884179782647,29.42266760513543,28.025783425352785
