,Performance Score,Trend Consistency Score,Total Score
INFO (TRY),-5.694148365709445,38.5876285746952,32.89348020898576
GEDIK (TRY),-2.828098565745787,35.37764724957617,32.54954868383038
A1CAP (TRY),2.7844262722612716,28.71245823921748,31.49688451147875
OYYAT (TRY),3.104639093065126,21.12148722193391,24.226126314999036
OSMEN (TRY),7.187271495680948,9.440829491831577,16.628100987512525
ISMEN (TRY),-14.882906633520859,15.738422633535755,0.8555160000148962
SKYMD (TRY),-78.45627008897243,22.587305683068948,-55.86896440590348
