,Performance Score,Trend Consistency Score,Total Score
SNKRN (TRY),-34.32237684961852,163.7245779362649,129.40220108664636
AKYHO (TRY),-8.875043061535118,70.12262125469175,61.247578193156635
MACKO (TRY),27.165497621771173,26.959816227733576,54.12531384950475
PCILT (TRY),18.42334063948834,33.41617779981789,51.83951843930623
CEOEM (TRY),13.877293894439202,36.325746374895964,50.20304026933516
FLAP (TRY),8.603853488264932,18.613774014084,27.217627502348932
HRKET (TRY),-11.162173766994318,20.053249980429133,8.891076213434815
DOCO (TRY),0.0,0.0,0.0
