,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Hisse Başı Kazanç
DSTKF (TRY),0.703227280965479,0.0891378347933851,8.443048
ULUFA (TRY),0.41937490753173556,0.07783258152501323,6.730816479400749
LIDFA (TRY),0.6948030992856999,0.08556790457906796,1.1760745755426607
CRDFA (TRY),0.4132554304374981,0.0821603507956687,1.1938037
GARFA (TRY),0.6068796016952764,0.10812384429976352,3.6178314465408805
