,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
ICUGS (TRY),1.3456298606612453,-0.0692345876848305,0.0,0.0,0.000423573763289643,0.19996651098874313,0.11162593207488927,0.07425033638416083,0.4232649533127507,-1030282166.0,1.0033180143884892,0.4246693525179856
ISGSY (TRY),1.280215844159683,-0.038969051136311154,0.0,0.0,0.0023297377726336555,0.3859021080720953,0.18712313600207744,0.2147569747107364,-0.6517383092874143,1091337986.0,12.758648312822293,-8.315299880191523
PRDGS (TRY),2.0,-0.3752458305673101,0.0,0.0,0.0,-0.3116774299788113,-0.013582221571641052,0.010969420745292995,-0.0,677572089.0,-0.11958909693877551,0.0
GOZDE (TRY),0.613309720308933,-0.13666525074607677,0.0,0.0,7.145889705316613e-05,-4.485450225438633,-0.2841570972539459,0.14689525682336754,-0.4666500407095577,24631570262.0,-20.575566423376625,9.601588909090909
HDFGS (TRY),2.0,-0.04121432932692834,0.0,0.0,0.0020888525419950356,-0.33018878527879003,-0.13760994048139397,0.0009208562294864255,-0.3935738735393948,131063805.0,-0.5216178,0.20529513805309735
BULGS (TRY),1.391776131406039,-0.00833924198842961,0.0,0.0,0.0018648152626647408,0.3031300574202397,0.3701719963177854,0.005417664105706594,-0.9966032269168003,1852869486.0,6.920479945,-6.896972645
HUBVC (TRY),,-inf,,,inf,-inf,-0.3658131307970951,0.0,0.011541730336289068,380937979.0,-3.1741514428571427,-0.0366352
VERTU (TRY),,-inf,,,inf,-inf,-0.04903509437294754,0.0,-0.0,3114877601.0,-3.5038926346153847,0.0
