,Amortisman/Kar,Arge/Kar,Brüt Kar/Hasılat,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması,Pazarlama/Kar,Sermaye Harcaması/Dönem Net,Yönetim/Kar
tas-toprak-cimento,0.24181881726712404,-0.0021389630220696944,0.41835364826657223,0.060512252495826944,0.046218989818614956,0.18551307929184283,5850598644.470589,0.20008546666004523,-6.049433078149542,-0.09020562361436447,-1.3480535158225673,-0.22007094537235422
gida-ve-icecek,0.2319688347113666,-0.004164172980988332,0.40649898626006326,-0.23579391611755843,0.017894284860138672,0.4396259217250684,4592436894.5,2.2863733152703305,-3.285748485674966,-0.2361123294006643,-12.690845792144625,-0.21228494628975073
ilac-ve-saglik,0.14265104110331397,-0.02669516687459485,0.6229283986197494,0.12857897645837205,0.015074416270546068,0.24045402173821376,5662725025.923077,3.2154756325269362,-0.7899873883568141,-0.1383016866859444,-2.008968508957699,-0.1800039849674226
tekstil-giyim-ve-deri,2.299728378284491,-0.02683639875825841,0.6065233076615556,-8.931937005150871,-0.0006213892363881958,0.30259884160688,1153567695.7419355,0.19147492701289778,-0.5485680314758842,-1.5813844471090162,-1.3456328329222862,-5.653633832827677
haberlesme,-0.012584550596358714,-0.0392556348107209,0.5420591753404221,0.35361630464536803,-0.013594197550626947,106.72924909087031,36310186342.166664,2.415803172514127,-5.9933460718844245,-0.11177043233942169,-0.48018289268130615,0.26763443290217087
tarim-hayvancilik-balikcilik,0.05969316121506741,0.0,0.5297019577384504,0.027279546154823225,0.00773923258470829,0.6232415689692138,357529485.6666667,0.2583152853000257,0.8457959202987411,-0.11823878405047054,0.4881482012933809,-0.08105049473340134
ulastirma,0.2410731288023074,0.0,0.5591776667149796,0.18455907813014977,0.05930862165899431,0.7224807049162504,26729129205.1,28.65071344644382,-10.618066329519232,-0.030926351083954175,-0.3411459120322978,-0.1986297893810689
servis-tasimaciligi-ve-arac-kiralama,0.39842339616211025,0.0,0.2846949734772817,0.3404142716143705,-0.00015799526503125632,0.5653451926989164,2911005854.6,-0.4153769806210204,-0.19000836818559336,-0.06880557444476938,1.353839989553118,-0.16502020927421915
turizm,0.35774382036980373,0.0,0.5491085546464133,0.42295036394968577,0.024008176064139738,0.1693067821125722,859824621.0,1.2081848258624457,-10.095069392860415,-0.04556169370238517,0.1637139613114094,-1.037035821698448
giyim-tekstil-ve-deri-urunleri-perakendeciligi,0.09798981957901556,-0.013871332772527311,1.0767081705227557,-0.014685902726578427,-0.020504464558853786,1.0447488471519342,2223108492.0,-0.4781236798650033,-0.9765216621466883,-0.3281053667442299,2.0424038868403382,-0.08609493705534803
