,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
INFO (TRY),0.1541591902761892,-0.23432121301385422,-0.07331446083308243,-0.002771271453384311,0.010096144970621914,0.00858040755323757,0.0035758073883545485,1.2641498266937792,-2.7194484132935646,586417416.0,0.04812208331250729,-0.13086552310857866
GEDIK (TRY),0.08219761240062638,-0.29508625528898585,-0.05602689439094591,-0.0027612874111113224,0.023873670680017996,0.05979503446012931,0.023721267969809896,1.7164406164902097,-0.7183032243518114,78323048.0,0.36696802,-0.263594312
A1CAP (TRY),0.18986024770520063,-0.07011050776468859,-0.03442607263307678,0.0,0.0040368527442486086,0.04691631722742537,0.042814425474002875,0.4454868056853233,-0.2800193315656078,1217052051.0,2.7398980296296296,-0.7672244148148148
SKYMD (TRY),0.04006245670828038,-0.265730619380555,-0.04237715239644683,0.0,0.007880557514305577,-0.03223350443537763,-0.026460895294131256,0.3443498749924845,0.8795014146917017,99140367.0,-0.3435651096774194,-0.302166
OYYAT (TRY),0.5693951858692468,-0.09788211472475411,-0.021835796851058898,0.0,0.01231777782106214,0.01557976161517612,0.010670990084697945,0.8524344122317696,2.51215255295957,5057750535.0,0.76867662,1.9310329333333334
ISMEN (TRY),0.048289576041714105,-0.0864892879135185,-0.023492778595494666,-7.647328678660711e-05,0.0036683958329561984,0.11837851950726694,0.07792571548738457,0.05559134091239632,0.837833130559592,10166275000.0,3.670758,3.075482666666667
OSMEN (TRY),inf,-0.2680857434466106,-0.08398738270112438,0.0,0.033385839032462956,0.12608309543796717,0.10585997598136859,0.2495292633298248,0.08248457660037535,975620876.0,0.9382595325,0.07739194027952861
