,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
SARKY (TRY),0.10616057491281916,-0.08937050007634473,-0.05250506822721579,-0.0054937273561599005,0.05114678769085141,0.055780834501001984,0.017528014994347235,0.7590374137698299,-1.0166604624440485,3829656842.0,0.584588415,-0.5943279283333334
ALMAD (TRY),-0.14927981077916666,2.2584444275131896,0.03735738197600742,-0.0,-2.0517005073678587,-0.6378913693177088,0.012047346230397785,0.0,-1.7685725000622792,-971675494.0,0.05400898181818182,-0.0955188
IPEKE (TRY),0.6288371188171782,-0.18103258624020416,-0.0321055142719056,-0.18701476242823487,0.23516521366093507,-0.1714354266653192,-0.028313250036716447,0.002677210994979262,-0.9189782046397851,5521330000.0,-3.8395448561508316,3.528458038539413
KOZAL (TRY),0.6836413337118472,-0.18905180572234587,-0.029925140265722922,-0.176547946196366,0.20994665984398472,0.1011329759909019,0.018635071921769907,0.0002113163292842027,-3.4675822447391513,22745667000.0,0.18859953161592505,-0.653984387197502
KOZAA (TRY),0.6307199384749025,-0.18478207511384137,-0.03206249817630692,-0.18676419348139148,0.23506811600919314,-0.32969109643002426,-0.05410566876742869,0.0015813793768224209,-0.4716614344989874,12926808000.0,-4.94952071737786,2.3344980416408987
CVKMD (TRY),0.722145264375166,-0.052759928095718646,-0.1283464422427777,0.0,0.13590272675551568,0.42129802734230454,0.06357110413382287,0.332548418349556,-1.9635691659798742,2815775573.0,22.71096130952381,-44.594543357142854
