,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
FLAP (TRY),0.30128075652528313,-0.5058749234684102,-0.04636281514109576,0.0,0.020715915914705244,-0.6442423112710886,-0.08434052064778608,0.0027909153952577234,0.039144710577338815,215436593.0,-0.7363610453333334,-0.02882464
SNKRN (TRY),1.5133430077368668,-0.35456246268755437,0.0,0.0,0.07290227464500403,-0.03112296451168913,-0.016736700434058647,0.03667566743840593,-0.0,-187952362.0,-0.12049435318680642,0.0
MACKO (TRY),1.3945892315349966,-0.08691848237755553,-0.04266373069357318,0.0,0.04115774345291072,0.26261029637150396,0.47483749337166997,0.0128967658284448,-0.1566437325191482,197529478.0,10.21673612,-1.60038768
CEOEM (TRY),0.20231211499442645,-0.23705183174926459,0.0,0.0,0.035060404125998985,0.23397655616480295,0.06592348947023526,0.0015222682315147883,-0.1427770560827072,-29091148.0,0.7304982272727273,-0.10429838636363636
HRKET (TRY),0.5392423518310814,-0.23086432989118694,-0.08053480637494899,0.0,0.3897641426798772,-0.07075238872166444,-0.011315512331233799,0.43652624016099884,21.264044434028794,4406967376.0,-1.16744703125,-24.824645546875
AKYHO (TRY),0.16989842675533906,-1.6296824552378248,-0.28226248182882624,0.0,1.3150743000786345,-4.659743781277557,-0.1374743919602768,0.019948018771273238,-0.790673866327148,-532324743.0,-0.36611132874452834,0.28947465980460574
PCILT (TRY),0.18398646713807662,-0.16355376937427873,0.0,0.0,0.026737134758202625,0.2342449395315778,0.08489574907587324,0.01376555698651781,-0.33412913824429824,385149038.0,2.0922027376425856,-0.6990658977608788
DOCO (TRY),,,,,,,,0.42356996433691124,,,,
