,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
OZRDN (TRY),0.6610842626006893,-0.23290408514812194,-0.2672041549554839,-0.0210692509243966,0.06836386504777117,-0.16263204702169518,-0.1425009305830736,0.0060354171765001656,0.374781448749594,69571766.0,-0.6913803537414966,-0.2591165306122449
EMNIS (TRY),0.40951288237201205,-0.2061237073443013,-0.1502199897036024,0.0,0.35155097217482806,0.0411963750232804,0.022384619230902177,0.0,-11.302941977628764,-572549634.0,1.0338448387096775,-11.685488225806452
BARMA (TRY),0.5177752335109737,-0.20230596279508598,-0.09438322934654585,0.0,0.11925471872849977,0.16185254035409605,0.028647702646597255,1.126092429781507,-10.825561909646623,1234699204.0,0.8521703885714286,-9.225223299047618
KRPLS (TRY),0.7043943896788586,-0.1278597705281559,-0.29266966433966357,-0.001594636724275969,0.12717963085053507,-0.10962407196524745,-0.07601518333386222,0.506536640442457,0.3955330569395507,-35684770.0,-0.6309677777777778,-0.24956861397479954
BAKAB (TRY),0.1504814465693956,-0.39730007908209164,-0.25748668589212087,-0.04934386546307931,0.3625561813591104,-0.4443472890789073,-0.06621753336717755,0.3039509848245261,0.43417775597976455,1397274952.0,-4.070594111111111,-1.7673614166666667
