,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
GENTS (TRY),0.4540928472363078,-0.16456507699574421,-0.1334332907353969,-0.01098095856336768,0.059419527473285626,0.06164599645589938,0.028002760525332987,0.12340802130595226,-3.152922322919603,319551519.0,0.3648680733333333,-1.1504006933333333
YATAS (TRY),0.6345799859455848,-0.06252644935418607,-0.3567284436962742,-0.009505356960850631,0.08268865082113962,0.017523098674770105,0.010673677917968902,0.6285699301830209,-4.290006664022142,5384592578.0,1.2006149883632014,-5.150646301003
ORMA (TRY),0.26825107841306717,-0.1785816865370515,-0.28060709998662964,0.0,0.18788981198530735,0.36235234596394394,0.039443721893781716,0.30575904892252587,-1.4410054704081179,3418750208.0,12.186778933823529,-17.561215110294118
EUREN (TRY),0.37052338018118036,-0.05940245814331648,-0.13073767713638348,0.0,0.07694705000206281,0.5508709933713586,0.10918569359459193,0.14060251688116832,-1.7628480129764683,1999018264.0,0.5089957814285714,-0.8972822019047619
YONGA (TRY),0.12596710935184952,-1.072422942700694,-0.5021071424779685,0.0,0.3672364774528508,0.7518076120745038,0.03530298346639169,0.45042172481735326,-0.4021141924936275,14756301.0,2.031643630952381,-0.816952738095238
DGNMO (TRY),0.6099486316048914,-0.09183006989268909,-0.4328546690217012,-0.014861278124881139,0.15969708249621264,-0.062816430461133,-0.046127265935925504,1.1358407104785635,0.9826174846355948,832949381.0,-1.2957723542857142,-1.2732485714285715
KLSYN (TRY),1.090651001282188,-0.0696400757995176,-0.25106790220349734,-0.009965807555964165,0.076574101270466,0.2389392777150455,0.11128898080441031,0.15291936153164465,-0.8745473774586183,-719453188.0,1.0216964164668783,-0.8935219215799768
SUMAS (TRY),0.30432293567113095,-0.19751525862287508,-0.0408829689330871,0.0,0.11998893775008168,0.10006173121673292,0.02776261597593336,0.010148931722931532,-4.22849173050024,239860557.0,2.2676400938243044,-9.588697384486858
