,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
GRNYO (TRY),0.23470446590822316,-0.2961767716358495,0.0,0.0,0.011812898612915622,-0.14691099335882665,-0.12431588331159035,0.0011980404891108719,0.003953255173733887,14790095.0,-0.3689044266666667,-0.0014583733333333334
OYAYO (TRY),0.22010779786360993,-0.13302681538028352,-0.009418192438610057,0.0,0.0003626232401558542,-0.1090846164931131,-0.08726609737854113,0.0,-0.0,-188792752.0,-0.50119755,0.0
EUYO (TRY),0.9322781626269611,-0.1822757416807909,0.0,0.0,0.04490560714481954,-0.14436059134399307,-0.10660361861559445,0.031023614588352302,-0.48271160635642535,43413331.0,-0.409853,0.1978408
MTRYO (TRY),0.10005022973101266,-0.033869678166754076,0.0,0.0,0.0003146237364012305,0.029951603182740177,0.02983588721154337,0.0,2.5412672746313762,127754974.0,0.2587712857142857,0.657607
ISYAT (TRY),0.20381892369600332,-0.08720907517223556,0.0,0.0,0.0031147439812876355,-0.03389449221598737,-0.027023118384221532,0.006379508546367607,-0.13378923913038845,298544383.0,-0.08764949412850434,0.011726559129616045
VKFYO (TRY),inf,-0.3724334515791462,0.0,0.0,0.018770975511647997,-0.1399833945748559,-0.108173131002324,0.020668608695911705,0.029013412059313383,7782031.0,-0.21172736666666667,-0.006142933333333334
EUKYO (TRY),0.9583371635168381,-0.2584834153086053,0.0,0.0,0.055741892671855905,-0.19434775672663443,-0.14204804777198096,0.030625728620556476,0.12762165678960818,46259300.0,-0.5539436,-0.0706952
ATLAS (TRY),0.09643770570380851,-0.037338977120209275,0.0,0.0,0.00027106260401672366,0.03063197988273681,0.030386297078121106,0.0,5.867437031739296,152686173.0,0.18512435,1.0862054666666667
ETYAT (TRY),0.9198397532351292,-0.24853702935004063,0.0,0.0,0.04982813845253836,-0.18143507246973448,-0.13780410567993742,0.05066734669538541,0.287880332202533,38999411.0,-0.49889445,-0.1436219
