,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Hisse Başı Kazanç
QNBFK (TRY),0.6417961157293258,0.03861632277112258,0.602592
VAKFN (TRY),0.7292343422288446,0.05329319451420082,0.47206714285714285
SEKFK (TRY),0.39845429242152597,0.04999330448202013,1.60907
ISFIN (TRY),0.6829999031479059,0.027602399834660278,2.768854729520799
