,Dönem Net/Toplam Varlık,Hisse Başı Kazanç
GLCVY (TRY),0.1956167620869614,8.461181102362204
BRKVY (TRY),0.20993905743217636,6.6276785714285715
SMRVA (TRY),0.14989630810453866,4.599559322033898
